request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_233,0.0,not_affordable,not_recommended,none,,none,No eligible payment plan keeps the projected balance above the required minimum.
request_234,343.82,affordable_later,wait,2026-07-15:1213.30,2026-07-15,none,Waiting until 2026-07-15 protects the minimum balance.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,A full payment of 967.2 is safe on the request date.
request_236,7443718.01,not_affordable,not_recommended,none,2025-03-15,none,No eligible payment plan keeps the projected balance above the required minimum.
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,A full payment of 2.3826e+07 is safe on the request date.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,The supplied installment schedule stays above the required minimum balance.
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,A full payment of 642 is safe on the request date.
request_240,18578.76,affordable_with_plan,partial_payment,2026-01-06:18578.76|2026-02-15:82621.24,2026-02-15,none,Pay 18578.8 now and the remaining balance on the first safe full-payment date.
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,The supplied installment schedule stays above the required minimum balance.
request_242,0.0,not_affordable,not_recommended,none,,none,No eligible payment plan keeps the projected balance above the required minimum.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,A full payment of 17468 is safe on the request date.
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,A full payment of 49918 is safe on the request date.
request_245,48383.96,affordable_later,wait,2025-11-15:128500,2025-11-15,none,Waiting until 2025-11-15 protects the minimum balance.
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,The supplied installment schedule stays above the required minimum balance.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,A full payment of 1059.3 is safe on the request date.
request_248,1026.8,affordable_with_plan,partial_payment,2025-02-07:1026.80|2025-03-15:938.80,2025-03-15,none,Pay 1026.8 now and the remaining balance on the first safe full-payment date.
request_249,168.4,affordable_later,wait,2026-02-15:643.20,2026-02-15,none,Waiting until 2026-02-15 protects the minimum balance.
request_250,17762.28,affordable_with_plan,partial_payment,2024-12-06:17762.28|2025-01-15:106515.72,2025-01-15,none,Pay 17762.3 now and the remaining balance on the first safe full-payment date.
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,No eligible payment plan keeps the projected balance above the required minimum.
request_252,5800091.46,affordable_later,wait,2026-07-15:28082000,2026-07-15,none,Waiting until 2026-07-15 protects the minimum balance.
request_253,1636.96,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-03-15,none,The supplied installment schedule stays above the required minimum balance.
request_254,878.13,affordable_later,wait,2025-08-15:3535.20,2025-08-15,none,Waiting until 2025-08-15 protects the minimum balance.
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,A full payment of 3.345e+06 is safe on the request date.
request_256,180215.52,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-15,none,The supplied installment schedule stays above the required minimum balance.
request_257,330.4,affordable_later,wait,2025-12-15:1352.40,2025-12-15,none,Waiting until 2025-12-15 protects the minimum balance.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,A full payment of 1113.6 is safe on the request date.
request_259,447.88,affordable_later,wait,2024-09-15:935,2024-09-15,none,Waiting until 2024-09-15 protects the minimum balance.
request_260,8840452.15,affordable_with_plan,partial_payment,2025-02-06:8840452.15|2025-03-15:43238547.85,2025-03-15,none,Pay 8.84045e+06 now and the remaining balance on the first safe full-payment date.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,A full payment of 1830.4 is safe on the request date.
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,A full payment of 9.236e+06 is safe on the request date.
request_263,9323.96,affordable_with_plan,partial_payment,2025-05-07:9323.96|2025-05-15:42222.04,2025-05-15,none,Pay 9323.96 now and the remaining balance on the first safe full-payment date.
request_264,26863.74,affordable_later,wait,2026-04-15:111300,2026-04-15,none,Waiting until 2026-04-15 protects the minimum balance.
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,A full payment of 45970 is safe on the request date.
request_266,935.0,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,The supplied installment schedule stays above the required minimum balance.
request_267,1741.53,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,The supplied installment schedule stays above the required minimum balance.
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-06-15,none,The supplied installment schedule stays above the required minimum balance.
request_269,2483.22,not_affordable,not_recommended,none,,none,No eligible payment plan keeps the projected balance above the required minimum.
request_270,255.68,not_affordable,not_recommended,none,2026-08-20,none,No eligible payment plan keeps the projected balance above the required minimum.
request_271,11226.04,affordable_later,wait,2024-10-15:91300,2024-10-15,none,Waiting until 2024-10-15 protects the minimum balance.
request_272,6721120.51,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-15,none,The supplied installment schedule stays above the required minimum balance.
request_273,10756514.78,affordable_with_plan,partial_payment,2026-04-07:10756514.78|2026-04-15:5104485.22,2026-04-15,none,Pay 1.07565e+07 now and the remaining balance on the first safe full-payment date.
request_274,2148.55,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,The supplied installment schedule stays above the required minimum balance.
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,A full payment of 1.5884e+07 is safe on the request date.
